"","sub_id","groupID","studyID","group_cond","trial","img","txt","clean_text"
"1","A1R0DIJHIE1LOC",4,"id-thggi-2996","reapp",14,18,"2 boys are using a fence to shield them","boys are using a fence to shield them"
"2","A21VSWO39YO5KM",2,"id-fjoxq-3000","reapp",19,18,"2 children with dirt all over them.  Not sure what happened to them.","children with dirt all over them not sure what happened to them"
"3","A7A7V8W9I0LFN",3,"id-uwffo-26","control",15,15,"2 hasmack workers are searching for dead bodies in a fire","hasmack workers are searching for dead bodies in a fire"
"4","A86NUIKRVDWDF",9,"id-eiwzx-3000","reapp",3,18,"2 kids covered in ash or soot","kids covered in ash or soot"
"5","A2615YW1YERQBO",2,"id-giakt-2999","reapp",2,18,"2 kids playing hooky.","kids playing hooky"
"6","A86NUIKRVDWDF",9,"id-eiwzx-3000","reapp",1,15,"2 men in fire suits solving a fire problem","men in fire suits solving a fire problem"
"7","AT6LDQNLKTUSE",7,"id-thggi-2999","reapp",1,10,"A","a"
"8","ANGJEGCCP3AO2",7,"id-uwffo-2","reapp",11,16,"A  has discovered a lost body","a has discovered a lost body"
"9","A219VCQZADQ45W",12,"id-ngahz-2999","reapp",12,9,"A BOY PLAYING WITH FAKE GUN","a boy playing with fake gun"
"10","AU2RWXFODEMTE",7,"id-uwffo-7","reapp",4,20,"A FIRE","a fire"
"11","A14DC1USXBIRXU",5,"id-uwffo-23","control",9,10,"A Girl kitnab a person","a girl kitnab a person"
"12","AU2RWXFODEMTE",7,"id-uwffo-7","reapp",3,8,"A HEARTFULL PICTURE","a heartfull picture"
"13","A1UZ02W2GK883U",8,"id-ngahz-3000","reapp",8,6,"A Halloween outfit!","a halloween outfit"
"14","A219VCQZADQ45W",12,"id-ngahz-2999","reapp",5,7,"A LIITLE CHILD SAVED FROM DEATH BY A GOOD SA","a liitle child saved from death by a good sa"
"15","A219VCQZADQ45W",12,"id-ngahz-2999","reapp",18,2,"A MAN","a man"
"16","A219VCQZADQ45W",12,"id-ngahz-2999","reapp",19,10,"A MAN AND WOMAN PRACTICING DEFENSE MOVES","a man and woman practicing defense moves"
"17","A3JI6QMKXZARZ1",2,"id-uwffo-17","control",14,13,"A MAN DANGER ON LIPS","a man danger on lips"
"18","A219VCQZADQ45W",12,"id-ngahz-2999","reapp",17,13,"A MAN DOING AN ETHNIC CUTTING","a man doing an ethnic cutting"
"19","AU2RWXFODEMTE",7,"id-uwffo-7","reapp",10,9,"A MAN IS SHOTING","a man is shoting"
"20","A219VCQZADQ45W",12,"id-ngahz-2999","reapp",20,8,"A MAN WHO HAD RED PAINT THROWN AT HIM","a man who had red paint thrown at him"
