,sub_id,groupID,studyID,subgrp,group_cond,grp_goal,grp_method,trial,img,txt,clean_text
1,AZLX0OGFF8UQ1,id-eiwzx-2997-14,id-eiwzx-2997,treatment,reapp_target,motivated,reappraisal,15,11,"'Raging Bull' (1981), Rob DeNi",raging bull rob deni
2,A2BZSAELJE8Z3,id-ngahz-2998-3,id-ngahz-2998,treatment,target,motivated,observing,8,18,... What the hell have you been rollingi,what the hell have you been rollingi
3,A2J2SUYN1P96HB,id-zrcsw-2997-2,id-zrcsw-2997,treatment,reapp_target,motivated,reappraisal,19,1,...I don't like babies and am very upset by this image.,i dont like babies and am very upset by this image
4,AB0ID12VC6ZW6,id-uwffo-18-1,id-uwffo-18,control,target,motivated,observing,2,19,...that's gotta hurt.,thats gotta hurt
5,A39BIGZ0L59WLV,id-uwffo-13-5,id-uwffo-13,treatment,target,motivated,observing,13,15,100 percent a photo from a movie.,percent a photo from a movie
6,A1J4INYRDDX84W,id-fjoxq-2997-1,id-fjoxq-2997,treatment,target,motivated,observing,15,18,"2 children escape abuse, there is hope.",children escape abuse there is hope
7,AOSO1D81K0ET0,id-bvwuk-3000-1,id-bvwuk-3000,control,control,non_motivated,observing,14,18,2 children in trouble. I hate to see anything bad happen to kids. It makes me sad.,children in trouble i hate to see anything bad happen to kids it makes me sad
8,AH7I3K3OJKA5L,id-ngahz-2999-10,id-ngahz-2999,treatment,reapp,non_motivated,reappraisal,2,12,2 dirty boys standing by a fence.,dirty boys standing by a fence
9,AH7I3K3OJKA5L,id-ngahz-2999-10,id-ngahz-2999,treatment,reapp,non_motivated,reappraisal,2,18,2 dirty boys standing by a fence.,dirty boys standing by a fence
10,AS53TLW26LCK0,id-uwffo-17-8,id-uwffo-17,treatment,reapp,non_motivated,reappraisal,11,10,2 men wrestling,men wrestling
11,A3CYCTJA0RZFR8,id-eiwzx-2999-12,id-eiwzx-2999,control,control,non_motivated,observing,2,1,"2 wow that is a tiny newborn, i feel awe, and happiness.",wow that is a tiny newborn i feel awe and happiness
12,A25BUC3EXB6FNO,id-uwffo-17-6,id-uwffo-17,treatment,target,motivated,observing,13,16,3d world country? can't afford a casket?,d world country cant afford a casket
13,A1NKXXMA4FCARH,id-uwffo-7-2,id-uwffo-7,control,control,non_motivated,observing,6,8,A,a
14,A842P87NB4KIS,id-uwffo-18-9,id-uwffo-18,treatment,reapp,non_motivated,reappraisal,2,4,A  people was saved,a people was saved
15,A842P87NB4KIS,id-uwffo-18-9,id-uwffo-18,treatment,reapp,non_motivated,reappraisal,2,14,A  people was saved,a people was saved
16,A2M6KK4OY2GY8H,id-uwffo-4-5,id-uwffo-4,control,control,non_motivated,observing,6,5,A Beaten Woman with black eyes,a beaten woman with black eyes
17,A2U7EOYX4P2U4Z,id-uwffo-6-7,id-uwffo-6,control,target,motivated,observing,10,2,A PERSON DARD,a person dard
18,A2U7EOYX4P2U4Z,id-uwffo-6-7,id-uwffo-6,control,target,motivated,observing,19,12,A TERRIble f,a terrible f
19,A2MGCMFBQV8FLH,id-uwffo-7-3,id-uwffo-7,control,control,non_motivated,observing,7,20,"A TRUE TROOPER, SURVIVAL AT ITS FINEST",a true trooper survival at its finest
20,A2MGCMFBQV8FLH,id-uwffo-7-3,id-uwffo-7,control,control,non_motivated,observing,7,5,"A TRUE TROOPER, SURVIVAL AT ITS FINEST",a true trooper survival at its finest
21,A3F8RIZ9BJ8RWP,id-eiwzx-2998-7,id-eiwzx-2998,control,reapp,non_motivated,reappraisal,17,7,A baby being taken care of after war or some other tradgedy,a baby being taken care of after war or some other tradgedy
22,A1A5W8B8YYNKSI,id-uwffo-6-1,id-uwffo-6,control,control,non_motivated,observing,11,1,A baby birth,a baby birth
23,A3T9WZOUQGE2UW,id-rppnn-3000-4,id-rppnn-3000,control,control,non_motivated,observing,16,1,A baby born too early.  I really hope it survives!,a baby born too early i really hope it survives
24,ALNPW5WIO0I,id-uwffo-19-15,id-uwffo-19,control,control,non_motivated,observing,7,16,A baby child injuried heavily for right side eye and very d,a baby child injuried heavily for right side eye and very d
25,ALNPW5WIO0I,id-uwffo-19-15,id-uwffo-19,control,control,non_motivated,observing,7,7,A baby child injuried heavily for right side eye and very d,a baby child injuried heavily for right side eye and very d
26,ALNPW5WIO0I,id-uwffo-19-15,id-uwffo-19,control,control,non_motivated,observing,7,16,A baby child injuried heavily for right side eye and very d,a baby child injuried heavily for right side eye and very d
27,ALNPW5WIO0I,id-uwffo-19-15,id-uwffo-19,control,control,non_motivated,observing,7,7,A baby child injuried heavily for right side eye and very d,a baby child injuried heavily for right side eye and very d
28,A1J9VZ372FV2QZ,id-zrcsw-2999-1,id-zrcsw-2999,control,target,motivated,observing,13,9,A baby delivered in few months before of the correct,a baby delivered in few months before of the correct
